OBJECTID_1,NAME,STATE_NAME,OutageCount,CountyStatus,CustomerCount,PercentOut,CountyId,TimeStamp,GlobalID,EditDate
1,Decatur,Georgia,4,#004FA2,14106,0.02835672763363108,174,1727283279574,4f1c9697-e63e-4cd8-b22f-9aa29ae35cd9,1727283280727
6,Calhoun,Georgia,1,#004FA2,3438,0.029086678301337987,150,1727283279574,ada1fa9c-33b0-4b10-92f4-dfa5fedc9409,1727283280727
11,Mitchell,Georgia,1,#004FA2,10588,0.009444654325651681,231,1727283279576,19050b21-9129-45a6-8139-d0d6bbf4054e,1727283280727
12,Worth,Georgia,60,#0B5597,8607,0.6971070059254095,289,1727283279577,8e1b5b62-0eae-4b6a-889d-61357636883e,1727283280727
14,Marion,Georgia,5,#0250A0,3434,0.145602795573675,226,1727283279578,f782245b-9e5e-420a-901b-1ede775e74bb,1727283280727
15,Muscogee,Georgia,11,#004FA2,93542,0.01175942357443715,236,1727283279578,b28e4850-0abd-46c1-9856-5b0e5928eb16,1727283280727
20,Lee,Georgia,1,#004FA2,15629,0.006398362019323054,218,1727283279575,308a439f-34b3-4a59-abb4-f0cb548054ff,1727283280727
23,Sumter,Georgia,2,#004FA2,17275,0.011577424023154849,260,1727283279577,d74020ed-2785-46a6-884c-61f1fbaccf04,1727283280727
24,Terrell,Georgia,1,#004FA2,5742,0.017415534656913968,266,1727283279577,6a2ca738-434b-4ac2-b59c-51729ffe6942,1727283280727
25,Haralson,Georgia,22,#0250A0,15522,0.14173431258858393,201,1727283279574,3a956a93-bd09-4808-a68c-c34a72f4798d,1727283280727
26,Polk,Georgia,248,#14598E,19958,1.2426094799078065,246,1727283279578,0188fa88-74b6-4947-b2dd-a21143a41f6b,1727283280727
27,Harris,Georgia,187,#115791,17653,1.0593100322891293,202,1727283279576,947609e0-2935-4d84-8ebd-53b9fe957bbe,1727283280727
29,Meriwether,Georgia,1,#004FA2,16726,0.005978715771852206,229,1727283279578,d481e88e-aedd-4008-ad68-3aa907d1e337,1727283280727
30,Talbot,Georgia,1,#004FA2,4487,0.022286605749944285,261,1727283279577,866fdd95-6492-4cb5-925f-47a9431ed002,1727283280727
37,Lamar,Georgia,1,#004FA2,10526,0.009500285008550257,215,1727283279575,1c07b367-20a3-44c2-91d0-16f7fbeac6d1,1727283280727
41,Carroll,Georgia,37,#0150A1,57878,0.06392757178893535,153,1727283279574,80b4b202-bebf-4d65-831e-ce910f2370fc,1727283280727
44,Douglas,Georgia,3,#004FA2,65626,0.004571358912626093,179,1727283279574,3c3b2906-07ba-4508-9a02-fa74ddc0169d,1727283280727
46,Paulding,Georgia,2,#004FA2,72989,0.0027401389250434997,241,1727283279576,d8231557-9eef-46e9-a506-22b12651af49,1727283280727
47,Clayton,Georgia,5,#004FA2,123457,0.004049993115011705,162,1727283279574,ab039b0b-a178-4697-9a92-a781c221c41e,1727283280727
48,Henry,Georgia,5,#004FA2,106588,0.004690959582692235,205,1727283279576,e89d9f8c-720c-4c34-aa1e-a48bbe17fbe3,1727283280727
51,Dekalb,Georgia,1221,#05529D,361192,0.3380473543157102,175,1727283279574,585a8660-f217-4db4-93f2-a6a346aaa44e,1727283280727
52,Fulton,Georgia,272,#014FA1,520427,0.05226477488677567,190,1727283279578,9c03a53a-ae74-499c-b638-9f6781013069,1727283280727
53,Gwinnett,Georgia,8,#004FA2,377337,0.002120120740876193,197,1727283279574,c7eaa7d4-a942-437b-89ac-041ba67e2c94,1727283280727
54,Chattooga,Georgia,8,#014FA1,17589,0.045482972312240605,158,1727283279573,8f1de9bf-0c64-4b97-bdad-34a1cc470e12,1727283280727
55,Dade,Georgia,33,#06529C,8389,0.3933722732149243,172,1727283279573,3caf5894-4bd2-492f-8280-f2c8eb4028ec,1727283280727
56,Floyd,Georgia,407,#0E5694,47252,0.861339202573436,187,1727283279574,c31d7f5c-587e-405b-90f1-ab6c18fc5dc9,1727283280727
57,Walker,Georgia,380,#175B8B,26293,1.4452515878750998,276,1727283279579,961c8745-2f61-408c-8102-f9d798c557d4,1727283280727
58,Bartow,Georgia,49,#0250A0,46337,0.10574702721367374,139,1727283279568,58a620a4-1691-4c10-bfa8-dbde8226f4b2,1727283280727
60,Gordon,Georgia,75,#04519E,33294,0.22526581366011894,194,1727283279574,94608c2d-bdb5-4114-a9db-d9a7364b8896,1727283280727
61,Murray,Georgia,5,#004FA2,21947,0.022782157014626145,235,1727283279578,33d16c06-94db-4760-bff4-fa36050d2d35,1727283280727
62,Whitfield,Georgia,18,#014FA1,38813,0.046376214155051144,285,1727283279575,de4eb4bd-dfb4-467a-9195-4fb3344be149,1727283280727
63,Cherokee,Georgia,5,#004FA2,126642,0.003948137268836563,159,1727283279573,88bcb51a-06f0-4d5e-9a3e-9c596628e4f7,1727283280727
64,Dawson,Georgia,1,#004FA2,19429,0.005146945287971589,173,1727283279574,f7815674-9bc7-4a0d-8454-492a69e4cf54,1727283280727
66,Hall,Georgia,2,#004FA2,97797,0.00204505250672311,199,1727283279576,e54c40a3-7bfe-4f4e-a15f-13184405318d,1727283280727
68,Fannin,Georgia,58,#03509F,33520,0.1730310262529833,1162,1727283279579,6d4fc4b6-3c8b-443a-8a8c-be8615ed0ea5,1727283280727
69,Gilmer,Georgia,1,#004FA2,27588,0.00362476439031463,191,1727283279574,e064ab6c-1cb3-4de6-b9b5-6569766929df,1727283280727
72,Brooks,Georgia,1,#0250A0,939,0.10649627263045794,145,1727283279573,03dff91e-42e0-4178-add9-1be3b21f4b6d,1727283280727
73,Lowndes,Georgia,1,#004FA2,32259,0.0030999101026070244,222,1727283279576,1ba90d39-8182-4b98-8421-93c8d0da39ad,1727283280727
77,Berrien,Georgia,1,#004FA2,4632,0.02158894645941278,141,1727283279573,ac0fa44e-3a71-46a3-96ef-c0a1acc1f76a,1727283280727
79,Cook,Georgia,1,#014FA1,1652,0.06053268765133172,168,1727283279574,295442cf-e3fa-418f-a769-2afe99d731d4,1727283280727
83,Atkinson,Georgia,1,#004FA2,4756,0.021026072329688814,133,1727283279572,01bff75c-cab3-4761-85c8-731a6859d96d,1727283280727
84,Coffee,Georgia,2,#004FA2,17015,0.011754334410813987,165,1727283279574,717c5f68-9a82-4ddb-9001-46945498b6dd,1727283280727
86,Ben Hill,Georgia,3,#0150A1,3411,0.08795074758135445,140,1727283279571,5b97396c-ecda-43f9-8599-6186f5356309,1727283280727
90,Houston,Georgia,1,#004FA2,19045,0.005250721974271462,206,1727283279578,d8fdbd6f-8dab-4eec-8035-657268de73c5,1727283280727
100,Brantley,Georgia,1,#004FA2,9947,0.010053282396702523,144,1727283279573,a3b264c9-05c6-4b29-9211-2bdbc82baefc,1727283280727
105,Camden,Georgia,3,#004FA2,28421,0.010555575102916857,151,1727283279574,5323e6e5-6cd4-4798-93f5-0ea8518f99b6,1727283280727
108,Appling,Georgia,2,#004FA2,12518,0.015976993129892952,132,1727283279567,92189fcc-30b2-4121-bf24-9b0682b0298f,1727283280727
110,Evans,Georgia,1,#004FA2,9079,0.01101442890186144,185,1727283279577,03afd48b-77ec-44fb-be36-49965042a7c2,1727283280727
111,Tattnall,Georgia,2,#004FA2,19191,0.010421551769058414,263,1727283279579,ec8767bc-d51d-41ba-afd7-b210ead24e51,1727283280727
113,Long,Georgia,1,#004FA2,7078,0.014128284826222097,221,1727283279578,a96353b1-f2ef-4e8f-b606-21a379e226b5,1727283280727
114,Liberty,Georgia,31,#0250A0,32792,0.0945352525006099,219,1727283279575,23a373d8-cba1-4932-a56f-9bbaaf99e59f,1727283280727
116,Bulloch,Georgia,3,#004FA2,50405,0.005951790496974506,147,1727283279573,660abe24-2d55-4544-a238-9dd82e1fa44a,1727283280727
117,Effingham,Georgia,1,#004FA2,32480,0.0030788177339901475,182,1727283279575,8206a20d-a2bf-43ca-af95-4cedb021068c,1727283280727
118,Bibb,Georgia,19,#004FA2,78964,0.024061597690086624,142,1727283279573,a26dc8a8-064c-4e03-a279-dc9ab9554f38,1727283280727
122,Jones,Georgia,2,#004FA2,13486,0.014830194275545008,214,1727283279578,e85f2e3f-7020-4a19-806f-29ed24d3a2e1,1727283280727
123,Putnam,Georgia,1,#004FA2,14986,0.006672894701721607,248,1727283279578,74290ee7-29f8-4721-8723-f189800f498b,1727283280727
124,Glascock,Georgia,1,#014FA1,1808,0.05530973451327434,192,1727283279574,b8952537-ccd2-4ef7-a154-ae8fc00d51be,1727283280727
130,Barrow,Georgia,1,#004FA2,39126,0.002555845218013597,138,1727283279572,735b7c18-32bd-45ae-842a-d55499fc7b53,1727283280727
132,Walton,Georgia,7,#004FA2,38403,0.018227742624274148,277,1727283279579,987c688f-22db-4d30-a9a8-ccbb5c08c795,1727283280727
133,Clarke,Georgia,7,#004FA2,64948,0.010777853051672108,160,1727283279574,69f3a5cf-6c85-4618-b0a1-7cb316e6059d,1727283280727
135,Oconee,Georgia,1,#004FA2,20275,0.004932182490752158,238,1727283279578,d1ad4a61-c9ea-4081-b592-d42e03777b96,1727283280727
138,Warren,Georgia,1,#004FA2,3434,0.029120559114735003,279,1727283279575,0dfbb05d-e3a2-4952-9c78-8b4a66741662,1727283280727
144,Jefferson,Georgia,1,#004FA2,9727,0.010280662074637608,211,1727283279576,dbe29682-a81b-4577-b9b9-757f7b4a4645,1727283280727
147,Columbia,Georgia,1,#004FA2,70538,0.0014176755791204742,167,1727283279574,f6703b0e-b078-4608-92a0-c7f17c581c18,1727283280727
150,Richmond,Georgia,94,#0150A1,101792,0.09234517447343603,252,1727283279577,7430f205-83c1-494b-b9db-6c15a1c575e1,1727283280727
151,Chatham,Georgia,33,#004FA2,163623,0.02016831374562256,156,1727283279573,0da15935-fc26-4b81-8ab3-c77e28a4c718,1727283280727
154,Habersham,Georgia,4,#004FA2,22437,0.0178276953246869,198,1727283279578,92b5f6e3-dcd6-4b1e-8a18-77e7a025d47e,1727283280727
156,Stephens,Georgia,1,#004FA2,14050,0.0071174377224199285,258,1727283279575,76a1cdce-2f0e-48d1-8c3b-3fc284fe2f3c,1727283280727
158,White,Georgia,2,#004FA2,18183,0.01099928504647198,284,1727283279579,7d190b1d-b058-4705-9d21-2a444125a025,1727283280727
159,Hart,Georgia,6,#0150A1,7899,0.0759589821496392,203,1727283279576,73ac497e-cee1-4606-a0f1-0856d2fe5194,1727283280727
